ri_id,lead_image,ri_name,text_file,n_En,n_Fa,n_Fs,n_Fm,n_Fp,n_Fo3,n_Ca,n_Su,n_Fb,n_St,n_Pr,n_Sa,n_Al,serving_size
670,20190406_154843_chicken teriyaki w fruit & nut couscous.jpg,chicken teriyaki w fruit & nut couscous,20190406_154843_chicken teriyaki w fruit & nut couscous.txt,155,4.58,0.85,1.55,1.31,0.0,14.69,5.89,1.55,0.22,13.58,0.76,0.0,343
671,20190826_161908_meat free burger w egg on toast.jpg,meat free burger w egg on toast,20190826_161908_meat free burger w egg on toast.txt,246,13.21,7.72,2.21,0.7,0.0,15.73,3.09,1.04,6.1,14.13,1.87,0.0,265
672,20200925_141824_ratatouille.jpg,ratatouille,20200925_141824_ratatouille.txt,93,7.37,1.13,4.99,0.75,0.0,5.87,3.74,1.59,0.15,1.31,0.87,0.0,251
673,20191122_143054_fried red pepper in tomato sauce.jpg,fried red pepper in tomato sauce,20191122_143054_fried red pepper in tomato sauce.txt,63,3.86,0.63,2.44,0.43,0.0,5.93,3.95,1.83,0.27,1.18,0.41,0.0,300
674,20210729_150138_steamed stuffed baby peppers.jpg,steamed stuffed baby peppers,20210729_150138_steamed stuffed baby peppers.txt,65,1.46,0.31,0.37,0.38,0.0,5.76,3.42,2.06,0.26,7.25,0.41,0.0,42
675,20200307_162504_ssr surimi ginger & smoked salmon.jpg,ssr surimi ginger & smoked salmon,20200307_162504_ssr surimi ginger & smoked salmon.txt,111,2.11,0.27,0.38,0.29,2.06,15.9,4.89,0.75,7.78,7.12,1.47,0.0,0
676,20190801_201403_fruit salad and ham.jpg,fruit salad and ham,20190801_201403_fruit salad and ham.txt,45,0.67,0.24,0.04,0.08,0.0,8.75,7.23,0.93,0.02,2.02,0.16,0.0,585
677,20210416_121930_steamed cabbage.jpg,steamed cabbage,20210416_121930_steamed cabbage.txt,25,0.1,0.0,0.0,0.0,0.0,5.87,3.24,2.53,0.0,1.31,0.1,0.0,974
678,20200214_164238_ssr template.jpg,ssr template,20200214_164238_ssr template.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,12
679,20190913_135622_after work snack 20190913.jpg,after work snack 20190913,20190913_135622_after work snack 20190913.txt,245,14.21,1.95,6.1,2.15,12.4,20.74,2.25,2.18,9.92,9.17,0.85,0.0,96
680,20200610_154742_chermoula turkey w aubergine bake & pepper chickpeas.jpg,chermoula turkey w aubergine bake & pepper chickpeas,20200610_154742_chermoula turkey w aubergine bake & pepper chickpeas.txt,130,6.88,2.27,2.51,0.73,0.02,6.4,2.62,1.2,0.97,10.3,0.78,0.16,410
681,20200626_144413_honey soy dressing.jpg,honey soy dressing,20200626_144413_honey soy dressing.txt,97,0.23,0.03,0.02,0.06,0.0,23.95,18.51,0.76,1.14,2.66,3.02,0.0,57
682,20210420_104952_qcelectro.jpg,qcelectro,20210420_104952_qcelectro.txt,0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.01,0.0,0.53,0.0,500
683,20190330_123736_tomato and smoked paprika soup.jpg,tomato and smoked paprika soup,20190330_123736_tomato and smoked paprika soup.txt,37,0.54,0.25,0.0,0.06,0.0,7.65,5.01,1.28,0.3,0.91,0.77,0.0,400
684,20190902_200901_roast pork mini pitta and fish fingers.jpg,roast pork mini pitta and fish fingers,20190902_200901_roast pork mini pitta and fish fingers.txt,237,10.83,1.85,1.54,0.81,0.0,19.37,1.4,1.33,4.3,15.12,0.63,0.0,230
685,20210331_201346_avocado & egg caprese salad w parma.jpg,avocado & egg caprese salad w parma,20210331_201346_avocado & egg caprese salad w parma.txt,161,11.33,3.37,4.88,2.13,0.06,4.17,1.61,1.63,0.08,11.66,1.04,0.0,188
686,20191107_174728_mushroom aubergine and barley stuffing.jpg,mushroom aubergine and barley stuffing,20191107_174728_mushroom aubergine and barley stuffing.txt,147,9.45,3.73,1.38,0.25,0.0,13.51,4.64,2.05,0.34,3.25,0.69,0.0,0
687,20210731_130005_chinese leaf w peppers mushrooms & turkey.jpg,chinese leaf w peppers mushrooms & turkey,20210731_130005_chinese leaf w peppers mushrooms & turkey.txt,48,1.08,0.14,0.29,0.17,0.0,4.56,3.24,1.32,0.01,5.26,0.76,0.0,450
688,20190324_165235_beef and chicken burger w cranberry apple on ciabatta.jpg,beef and chicken burger w cranberry apple on ciabatta,20190324_165235_beef and chicken burger w cranberry apple on ciabatta.txt,146,4.77,1.39,1.86,0.59,0.0,14.51,5.13,1.36,0.05,10.47,0.76,0.0,270
689,20190309_223029_king prawn and ham couscous amuse bouche.jpg,king prawn and ham couscous amuse bouche,20190309_223029_king prawn and ham couscous amuse bouche.txt,75,1.97,0.4,0.74,0.35,0.0,9.23,4.16,1.21,0.05,5.38,0.88,0.0,109
690,20200521_074551_wasabi fishsticks w mayo.jpg,wasabi fishsticks w mayo,20200521_074551_wasabi fishsticks w mayo.txt,172,9.79,0.85,0.0,0.0,0.0,13.17,7.23,0.45,0.0,7.69,2.26,0.0,27
691,20201014_151724_braised onions.jpg,braised onions,20201014_151724_braised onions.txt,232,18.38,7.14,8.2,2.05,0.45,15.9,6.87,3.13,0.0,1.94,0.72,0.0,0
692,20190314_134829_smoked salmon w crudities and omelette.jpg,smoked salmon w crudities and omelette,20190314_134829_smoked salmon w crudities and omelette.txt,65,2.22,0.74,0.41,0.29,1.64,7.03,4.79,1.49,0.42,4.46,0.5,0.0,554
693,20200927_154534_carrotu sushi w green tabasco.jpg,carrotu sushi w green tabasco,20200927_154534_carrotu sushi w green tabasco.txt,118,3.55,0.5,1.39,0.7,0.64,15.07,3.52,1.49,0.93,6.37,1.91,0.0,128
694,20200310_161944_mad sushi & cauliflower dinner.jpg,mad sushi & cauliflower dinner,20200310_161944_mad sushi & cauliflower dinner.txt,97,3.64,1.01,1.69,0.33,0.01,9.02,3.88,2.31,2.96,7.39,1.04,0.0,431
695,20210609_150730_tomato & shredded cabbage.jpg,tomato & shredded cabbage,20210609_150730_tomato & shredded cabbage.txt,56,3.88,0.72,2.34,0.35,0.11,3.63,2.77,1.97,0.08,1.37,0.12,0.0,95
696,20200620_122520_crunchy sweet short pastry.jpg,crunchy sweet short pastry,20200620_122520_crunchy sweet short pastry.txt,414,23.32,12.89,6.62,1.74,0.0,44.13,15.85,3.56,14.64,8.87,0.61,0.0,0
697,20190912_111508_rosemary lard.jpg,rosemary lard,20190912_111508_rosemary lard.txt,729,80.31,35.43,33.7,7.67,0.0,1.66,0.0,1.13,0.0,0.26,6.67,0.0,0
698,20200521_074506_wasabi fishsticks.jpg,wasabi fishsticks,20200521_074506_wasabi fishsticks.txt,117,2.87,0.32,0.0,0.0,0.0,14.36,7.83,0.5,0.0,8.35,2.33,0.0,25
699,20200326_122810_cardamom donuts w lamb & harissa broth.jpg,cardamom donuts w lamb & harissa broth,20200326_122810_cardamom donuts w lamb & harissa broth.txt,106,7.08,1.92,1.31,0.21,0.04,6.44,1.91,1.29,0.23,3.91,1.09,0.0,214
700,20210729_145607_chicken escalopes.jpg,chicken escalopes,20210729_145607_chicken escalopes.txt,168,8.14,2.44,3.15,1.72,0.0,1.7,0.63,0.62,0.23,21.29,0.73,0.0,70
701,20200524_081059_milk & tom mousakka.jpg,milk & tom mousakka,20200524_081059_milk & tom mousakka.txt,92,5.49,2.11,1.94,0.35,0.02,7.09,3.55,1.46,1.12,4.31,0.75,0.0,246
702,20210611_150137_coss w aubergine avocado ribbons w rosemary dressing.jpg,coss w aubergine avocado ribbons w rosemary dressing,20210611_150137_coss w aubergine avocado ribbons w rosemary dressing.txt,141,11.63,2.37,5.58,1.3,0.0,7.88,4.3,3.13,0.09,2.76,0.5,0.0,173
703,20190712_165216_lamb chop & meatball w red pepper & aubergine salad.jpg,lamb chop & meatball w red pepper & aubergine salad,20190712_165216_lamb chop & meatball w red pepper & aubergine salad.txt,159,9.66,3.5,3.35,1.05,0.43,9.44,6.53,1.4,0.32,8.66,0.56,0.0,354
704,20210407_151255_spring noodles.jpg,spring noodles,20210407_151255_spring noodles.txt,61,0.77,0.05,0.01,0.02,0.0,9.35,7.46,3.21,0.26,3.37,0.88,0.0,203
705,20190814_152419_roast beef ribeye & gravy.jpg,roast beef ribeye & gravy,20190814_152419_roast beef ribeye & gravy.txt,195,12.83,5.05,5.98,0.65,0.02,3.98,1.29,0.74,1.65,16.01,0.97,0.0,312
706,20200227_140143_lamb kofte & tomato garlic bread.jpg,lamb kofte & tomato garlic bread,20200227_140143_lamb kofte & tomato garlic bread.txt,180,9.26,2.75,1.67,0.21,0.0,13.36,1.97,1.03,0.02,10.61,0.58,0.0,0
707,20190215_124329_veg soup stock.jpg,veg soup stock,20190215_124329_veg soup stock.txt,45,1.88,0.26,0.0,0.05,0.0,6.66,2.73,1.4,0.19,0.77,0.38,0.0,0
708,20201014_151725_duck & braised onion w goats cheese & pecan salad.jpg,duck & braised onion w goats cheese & pecan salad,20201014_151725_duck & braised onion w goats cheese & pecan salad.txt,173,8.01,2.68,2.9,1.21,0.24,11.11,8.06,1.59,0.03,14.75,0.6,0.0,445
709,20190827_225710_mini turkey kebab.jpg,mini turkey kebab,20190827_225710_mini turkey kebab.txt,172,7.08,1.31,1.5,0.91,0.0,12.47,1.56,1.18,8.52,14.41,0.63,0.0,115
710,20191218_112015_healthy spinach tortilla.jpg,healthy spinach tortilla,20191218_112015_healthy spinach tortilla.txt,53,2.63,0.85,0.96,0.56,0.0,3.26,0.8,1.03,0.94,4.48,0.32,0.0,135
711,20190803_221443_fruit ham and nuts.jpg,fruit ham and nuts,20190803_221443_fruit ham and nuts.txt,60,1.58,0.4,0.39,0.32,0.0,9.58,8.04,1.12,0.01,2.79,0.29,0.0,411
712,20200613_201553_seeded boule 20200613.jpg,seeded boule 20200613,20200613_201553_seeded boule 20200613.txt,281,4.45,1.0,1.07,1.09,0.0,51.04,2.37,2.78,41.46,9.05,1.11,0.0,750
713,20190106_120725_mocha.jpg,mocha,20190106_120725_mocha.txt,54,1.59,1.02,0.34,0.06,0,7.19,7.04,0.69,0.0,2.38,0.06,0,350
714,20200831_170818_trout pork & yellow cherry tom & avocado salad & arancini.jpg,trout pork & yellow cherry tom & avocado salad & arancini,20200831_170818_trout pork & yellow cherry tom & avocado salad & arancini.txt,457,26.09,4.35,12.1,3.43,3.15,19.65,5.14,4.45,1.84,35.58,1.86,0.0,150
715,20190425_150047_green beans w beetroot and grapes.jpg,green beans w beetroot and grapes,20190425_150047_green beans w beetroot and grapes.txt,108,6.32,0.84,1.1,0.31,0.18,11.6,7.3,2.72,0.01,1.95,0.13,0.0,240
716,20190416_173826_ssr salmon.jpg,ssr salmon,20190416_173826_ssr salmon.txt,162,6.8,0.87,0.86,0.79,0.0,14.64,2.26,0.77,11.46,10.54,0.49,0.0,15
717,20200430_145527_crispy chicken and avocado w green leaf and grains.jpg,crispy chicken and avocado w green leaf and grains,20200430_145527_crispy chicken and avocado w green leaf and grains.txt,191,11.87,2.94,5.95,1.96,0.0,11.03,7.49,2.04,0.17,10.78,0.5,0.0,380
718,20190108_181824_jalapeno burger w cauliflower california.jpg,jalapeno burger w cauliflower california,20190108_181824_jalapeno burger w cauliflower california.txt,121,5.56,1.78,2.58,0.42,0.03,10.85,8.63,1.59,0.04,6.62,0.6,0.0,445
719,20190812_154714_veggie haggis balls in tomato.jpg,veggie haggis balls in tomato,20190812_154714_veggie haggis balls in tomato.txt,127,8.41,1.34,1.63,0.54,0.0,10.24,2.59,1.71,1.41,2.76,0.54,0.0,190
720,20190314_195838_grape and red pepper couscous.jpg,grape and red pepper couscous,20190314_195838_grape and red pepper couscous.txt,142,2.86,0.25,1.07,0.84,0.0,26.66,13.37,2.5,0.21,3.5,0.22,0.0,237
721,20200308_183836_salmon & surimi sushi & salad.jpg,salmon & surimi sushi & salad,20200308_183836_salmon & surimi sushi & salad.txt,111,2.9,0.84,1.08,0.46,0.0,16.06,3.63,1.28,0.22,5.01,1.09,0.0,313
722,20190106_173836_fillet steak and vegetables in gravy.jpg,fillet steak and vegetables in gravy,20190106_173836_fillet steak and vegetables in gravy.txt,40,1.55,0.63,0.52,0.09,0,2.9,1.14,0.63,0.73,3.57,0.51,0,575
723,20190823_183536_courgette ribbons in marie rose sauce.jpg,courgette ribbons in marie rose sauce,20190823_183536_courgette ribbons in marie rose sauce.txt,143,12.59,1.04,0.0,0.07,0.0,6.45,5.98,0.66,0.0,1.18,0.56,0.0,166
724,20200121_231431_anchovy chaource cracker.jpg,anchovy chaource cracker,20200121_231431_anchovy chaource cracker.txt,314,20.2,10.46,8.12,1.21,0.27,16.22,1.04,0.74,14.88,16.7,3.03,0.0,25
725,20200705_214847_beef kofte & tomato garlic bread.jpg,beef kofte & tomato garlic bread,20200705_214847_beef kofte & tomato garlic bread.txt,216,13.52,4.6,2.71,0.3,0.01,14.45,1.73,0.88,0.48,9.23,0.91,0.0,217
726,20200619_155901_fennel & lemon sauce.jpg,fennel & lemon sauce,20200619_155901_fennel & lemon sauce.txt,32,3.16,2.01,0.7,0.1,0.0,1.15,0.27,0.13,0.0,0.15,0.87,0.0,300
727,20210317_143109_calamari & chicken dumplings mix.jpg,calamari & chicken dumplings mix,20210317_143109_calamari & chicken dumplings mix.txt,154,5.96,1.61,2.43,1.33,0.03,7.56,1.36,0.58,1.39,16.68,1.61,0.0,0
728,20190309_223417_king prawn and ham couscous.jpg,king prawn and ham couscous,20190309_223417_king prawn and ham couscous.txt,75,2.07,0.43,0.82,0.38,0.0,10.16,4.63,1.35,0.06,4.46,0.8,0.0,592
729,20210318_133635_steamed broccoli.jpg,steamed broccoli,20210318_133635_steamed broccoli.txt,32,0.38,0.0,0.0,0.0,0.0,6.22,1.6,2.45,0.0,2.64,0.09,0.0,0
730,20210611_221039_mini turkey ball kebab.jpg,mini turkey ball kebab,20210611_221039_mini turkey ball kebab.txt,163,8.7,1.69,3.16,0.67,0.05,12.79,2.7,2.12,0.27,8.42,0.58,0.0,221
731,20210318_142950_chicken w broccoli & salad.jpg,chicken w broccoli & salad,20210318_142950_chicken w broccoli & salad.txt,105,5.68,1.12,3.12,0.97,0.01,9.0,3.02,2.26,0.42,5.59,0.48,0.0,520
732,20200509_153029_homemade chips.jpg,homemade chips,20200509_153029_homemade chips.txt,337,18.9,1.49,0.0,0.0,0.0,38.88,1.74,3.48,0.0,3.67,0.0,0.0,76
733,20191218_224656_aubergine korma w tortilla.jpg,aubergine korma w tortilla,20191218_224656_aubergine korma w tortilla.txt,64,3.35,1.31,0.48,0.3,0.0,3.95,1.91,1.23,0.47,4.76,0.4,0.0,260
734,20210327_113418_steamed broccoli.jpg,steamed broccoli,20210327_113418_steamed broccoli.txt,32,0.38,0.0,0.0,0.0,0.0,6.22,1.6,2.45,0.0,2.64,0.09,0.0,164
735,20200604_155327_smoked mackerel & egg & boqueron salad.jpg,smoked mackerel & egg & boqueron salad,20200604_155327_smoked mackerel & egg & boqueron salad.txt,123,7.84,1.53,2.34,1.21,4.6,4.75,3.18,1.05,0.01,8.15,0.34,0.0,420
736,20191229_140932_mushroom and herb broth.jpg,mushroom and herb broth,20191229_140932_mushroom and herb broth.txt,32,2.26,1.26,0.42,0.09,0.0,2.15,1.12,0.65,0.2,1.06,0.8,0.0,500
737,20190526_182413_fast garlic beef chicken gravy.jpg,fast garlic beef chicken gravy,20190526_182413_fast garlic beef chicken gravy.txt,45,1.45,0.86,0.04,0.07,0.0,6.24,0.45,0.59,3.18,1.5,3.13,0.0,200
738,20210721_202848_lamb mushroom & apple kofte.jpg,lamb mushroom & apple kofte,20210721_202848_lamb mushroom & apple kofte.txt,267,16.84,6.32,7.49,1.59,0.0,7.99,2.84,1.17,0.08,21.22,1.59,0.0,21
739,20191212_122111_roast veg caraway soup.jpg,roast veg caraway soup,20191212_122111_roast veg caraway soup.txt,102,7.02,3.7,1.41,0.28,0.0,7.21,1.41,1.14,2.08,3.12,1.27,0.0,455
740,20190320_191354_ham salmon and eggs on tomato toast.jpg,ham salmon and eggs on tomato toast,20190320_191354_ham salmon and eggs on tomato toast.txt,105,4.55,1.48,1.33,0.7,1.47,6.29,1.13,0.52,4.49,9.14,1.58,0.0,350
741,20200215_205435_tomato humous cracker snack.jpg,tomato humous cracker snack,20200215_205435_tomato humous cracker snack.txt,184,10.53,2.19,4.5,2.21,0.0,13.28,1.66,2.05,9.39,8.84,0.42,0.0,106
742,20190228_195018_leftovers monkfish skewers soup & crisps.jpg,leftovers monkfish skewers soup & crisps,20190228_195018_leftovers monkfish skewers soup & crisps.txt,99,4.4,1.16,0.55,0.33,0.15,8.24,3.21,1.35,0.31,6.55,0.83,0.0,432
743,20191225_132838_demi brioche sausage roll uncut.jpg,demi brioche sausage roll uncut,20191225_132838_demi brioche sausage roll uncut.txt,339,19.49,8.59,2.51,0.48,0.0,29.78,5.59,2.7,15.57,10.97,1.34,0.0,100
744,20200507_151231_seabass cavolo nero and potato dinner.jpg,seabass cavolo nero and potato dinner,20200507_151231_seabass cavolo nero and potato dinner.txt,82,1.85,0.42,0.5,0.41,0.4,7.65,0.86,1.09,0.21,8.36,0.63,0.0,500
745,20200625_160809_couscous salad w honey & lime.jpg,couscous salad w honey & lime,20200625_160809_couscous salad w honey & lime.txt,59,1.05,0.12,0.28,0.34,0.0,11.37,6.28,1.52,0.31,1.89,0.81,0.0,377
746,20200723_154128_yellow pepper & chinese leaf in mint sauce.jpg,yellow pepper & chinese leaf in mint sauce,20200723_154128_yellow pepper & chinese leaf in mint sauce.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,255
747,20190511_151228_red cabbage potato and feta salad.jpg,red cabbage potato and feta salad,20190511_151228_red cabbage potato and feta salad.txt,81,3.32,1.78,0.39,0.12,0.0,9.5,2.84,2.35,0.22,3.23,0.65,0.0,216
748,20210728_154048_minted cavolo nero.jpg,minted cavolo nero,20210728_154048_minted cavolo nero.txt,50,1.36,0.0,0.0,0.0,0.0,5.3,4.76,0.08,0.0,2.95,0.01,0.0,0
749,20200610_154523_turkey chermoula.jpg,turkey chermoula,20200610_154523_turkey chermoula.txt,176,9.03,1.61,4.34,1.41,0.0,3.65,2.87,0.28,0.16,19.54,0.68,0.0,160
750,20190805_162529_steamed broccoli w fried garlic and soy sauce.jpg,steamed broccoli w fried garlic and soy sauce,20190805_162529_steamed broccoli w fried garlic and soy sauce.txt,38,0.51,0.02,0.01,0.03,0.0,6.55,1.57,2.45,0.16,3.42,1.55,0.0,146
751,20190403_155753_paprika linguini w blue cheese.jpg,paprika linguini w blue cheese,20190403_155753_paprika linguini w blue cheese.txt,103,3.25,1.33,1.01,0.18,0.0,4.73,3.56,2.29,0.17,0.86,0.83,0.0,290
752,20190116_113639_poached egg on buttered mgt.jpg,poached egg on buttered mgt,20190116_113639_poached egg on buttered mgt.txt,265,17.35,8.11,4.29,1.24,0,15.66,1.6,2.56,0,10.34,1.62,0,121
753,20190322_012954_pancake.jpg,pancake,20190322_012954_pancake.txt,152,1.97,0.49,0.5,0.38,0.0,27.54,1.29,0.98,0.0,5.18,0.28,0.0,110
754,20200326_150655_fabada de verano.jpg,fabada de verano,20200326_150655_fabada de verano.txt,113,7.09,0.99,4.89,0.75,0.0,9.97,2.79,2.08,1.75,2.4,0.05,0.0,300
755,20210331_153134_lemon & chive oil.jpg,lemon & chive oil,20210331_153134_lemon & chive oil.txt,453,49.13,7.02,35.7,4.02,0.0,3.08,1.13,0.14,0.0,0.49,0.51,0.0,0
756,20190805_162502_beetroot & apple salad.jpg,beetroot & apple salad,20190805_162502_beetroot & apple salad.txt,47,0.28,0.14,0.0,0.07,0.0,10.86,7.33,2.03,0.39,0.89,0.08,0.0,297
757,20200905_194156_garden harvest salad for sushi.jpg,garden harvest salad for sushi,20200905_194156_garden harvest salad for sushi.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,228
758,20210611_221422_mini kofte kebab & fondant potatoes.jpg,mini kofte kebab & fondant potatoes,20210611_221422_mini kofte kebab & fondant potatoes.txt,155,8.19,1.59,3.34,0.66,0.04,13.35,2.77,2.15,0.4,7.16,0.67,0.0,281
759,20190313_161601_gem grape and potato salad.jpg,gem grape and potato salad,20190313_161601_gem grape and potato salad.txt,101,5.71,0.47,0.0,0.03,0.0,11.8,4.32,1.47,0.19,1.23,0.16,0.0,290
760,20190803_161041_smokey chicken w tomato and radish salad.jpg,smokey chicken w tomato and radish salad,20190803_161041_smokey chicken w tomato and radish salad.txt,91,4.03,1.1,1.52,0.84,0.0,4.39,2.88,0.76,0.37,9.18,0.25,0.0,500
761,20190624_165623_prawn sauce w blue cheese & garlic.jpg,prawn sauce w blue cheese & garlic,20190624_165623_prawn sauce w blue cheese & garlic.txt,399,39.88,25.34,9.46,1.42,0.04,4.81,2.85,0.29,1.68,6.96,1.57,0.0,196
762,20200519_162332_sweet potato & squash mash.jpg,sweet potato & squash mash,20200519_162332_sweet potato & squash mash.txt,123,5.51,3.43,1.4,0.2,0.0,18.09,3.69,2.8,8.47,1.53,0.19,0.0,0
763,20210730_144931_caprese w basil & tangerine dressing.jpg,caprese w basil & tangerine dressing,20210730_144931_caprese w basil & tangerine dressing.txt,105,6.51,3.2,2.36,0.39,0.09,6.4,4.68,1.11,0.0,5.98,0.74,0.0,200
764,20200902_160111_roast turkey thigh & potatoes.jpg,roast turkey thigh & potatoes,20200902_160111_roast turkey thigh & potatoes.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,294
765,20200312_162719_cod & prawn croquettes.jpg,cod & prawn croquettes,20200312_162719_cod & prawn croquettes.txt,300,14.16,6.57,2.74,0.91,0.32,30.46,3.72,1.61,10.27,11.81,0.57,0.0,73
766,20190902_200901_roast pork mini pitta.jpg,roast pork mini pitta,20190902_200901_roast pork mini pitta.txt,258,13.52,3.79,3.93,2.08,0.0,15.28,2.01,2.0,10.99,18.41,0.53,0.0,90
767,20201009_123829_rigatoni & tomato sauce.jpg,rigatoni & tomato sauce,20201009_123829_rigatoni & tomato sauce.txt,241,10.35,1.51,6.39,0.96,0.0,30.54,2.82,2.24,1.26,5.66,0.31,0.0,229
768,20200731_153852_minty melon yogurt.jpg,minty melon yogurt,20200731_153852_minty melon yogurt.txt,84,1.68,0.99,0.41,0.12,0.0,14.12,12.95,0.6,0.0,3.44,0.35,0.0,0
769,20210321_203801_avocado & fishstick cm.jpg,avocado & fishstick cm,20210321_203801_avocado & fishstick cm.txt,107,4.56,1.09,1.8,0.51,0.03,11.72,6.86,1.67,1.17,5.34,0.92,0.0,30
770,20190407_171911_beef broth & greens.jpg,beef broth & greens,20190407_171911_beef broth & greens.txt,33,0.65,0.41,0.0,0.03,0.0,5.27,1.48,0.73,0.0,1.16,1.41,0.0,830
771,20200214_115853_soy fishstick.jpg,soy fishstick,20200214_115853_soy fishstick.txt,108,2.51,0.2,0.0,0.01,0.0,12.9,7.51,0.52,0.0,8.36,2.38,0.0,25
772,20190317_115948_melon couscous packed lunch.jpg,melon couscous packed lunch,20190317_115948_melon couscous packed lunch.txt,63,0.79,0.06,0.27,0.29,0.0,13.49,9.42,1.23,0.05,1.25,0.13,0.0,400
773,20200514_140505_sauteed mushrooms.jpg,sauteed mushrooms,20200514_140505_sauteed mushrooms.txt,119,11.86,0.96,0.0,0.0,0.0,0.4,0.4,1.1,0.0,1.8,1.65,0.0,0
774,20210730_144931_naked caprese salad.jpg,naked caprese salad,20210730_144931_naked caprese salad.txt,95,5.93,3.38,1.69,0.3,0.1,4.42,2.76,1.2,0.0,6.58,0.69,0.0,180
775,20191127_161057_apple humous mini wrap.jpg,apple humous mini wrap,20191127_161057_apple humous mini wrap.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,50
776,20190724_145017_sausage casserole.jpg,sausage casserole,20190724_145017_sausage casserole.txt,164,8.64,2.02,1.94,1.06,0.0,14.57,2.98,1.57,3.28,5.6,0.74,0.91,400
777,20190912_132359_stuffed pork.jpg,stuffed pork,20190912_132359_stuffed pork.txt,277,18.39,6.91,7.37,3.03,0.0,6.15,2.02,0.82,1.39,20.67,0.61,0.0,275
778,20200515_100829_toasted sunflower & pumpkin seeds.jpg,toasted sunflower & pumpkin seeds,20200515_100829_toasted sunflower & pumpkin seeds.txt,551,39.5,6.67,13.3,16.1,0.0,36.9,1.3,13.5,0.0,19.74,2.64,0.0,0
779,20190408_154527_salmon and mixed veg w tomato and potato salad.jpg,salmon and mixed veg w tomato and potato salad,20190408_154527_salmon and mixed veg w tomato and potato salad.txt,88,3.54,0.56,0.57,0.5,0.0,6.02,1.73,1.42,0.0,8.83,0.25,0.0,480
780,20210328_230905_mini beef kofte.jpg,mini beef kofte,20210328_230905_mini beef kofte.txt,223,12.4,4.08,2.81,0.56,0.0,4.75,1.4,1.64,0.17,23.32,1.41,0.0,20
781,20210705_190407_caramelised fennel.jpg,caramelised fennel,20210705_190407_caramelised fennel.txt,126,2.62,0.32,1.62,0.18,0.0,25.9,12.79,5.03,0.0,2.0,0.16,0.0,0
782,20200228_084659_hamburger sausage.jpg,hamburger sausage,20200228_084659_hamburger sausage.txt,338,24.06,11.45,10.92,0.44,0.05,2.3,0.65,0.61,0.0,28.46,1.36,0.0,115
783,20210416_120910_mixed couscous.jpg,mixed couscous,20210416_120910_mixed couscous.txt,146,3.35,0.52,1.0,0.84,0.0,24.81,7.14,2.6,1.34,4.16,0.73,0.0,0
784,20190908_192754_soused cucumber & radish.jpg,soused cucumber & radish,20190908_192754_soused cucumber & radish.txt,26,0.12,0.0,0.0,0.0,0.0,6.16,3.97,0.82,0.79,0.84,0.02,0.0,96
785,20191230_110156_beef on mini brioche.jpg,beef on mini brioche,20191230_110156_beef on mini brioche.txt,249,15.4,5.75,5.03,0.84,0.0,10.94,3.46,0.67,5.89,16.49,0.39,0.0,85
786,20210323_063218_stuffed cabbage & dumplings bento box.jpg,stuffed cabbage & dumplings bento box,20210323_063218_stuffed cabbage & dumplings bento box.txt,107,5.73,1.94,2.24,0.64,0.03,7.14,2.48,1.19,1.13,6.96,1.23,0.0,390
787,20190711_143817_seared salmon and red salad.jpg,seared salmon and red salad,20190711_143817_seared salmon and red salad.txt,100,3.52,0.66,1.17,0.82,0.0,6.74,3.54,1.32,0.04,10.24,0.39,0.0,320
788,20190719_142729_seabass & vegetable linguine w asparagus.jpg,seabass & vegetable linguine w asparagus,20190719_142729_seabass & vegetable linguine w asparagus.txt,95,3.45,1.38,0.61,0.27,0.2,4.96,1.94,1.95,0.11,4.72,0.77,0.0,525
789,20190419_124838_apple and grape bulgar wheat w mint.jpg,apple and grape bulgar wheat w mint,20190419_124838_apple and grape bulgar wheat w mint.txt,108,5.0,1.0,1.75,1.59,2.85,15.55,10.28,2.41,2.21,2.09,0.57,0.0,231
790,20190820_153659_veg medley.jpg,veg medley,20190820_153659_veg medley.txt,122,7.84,1.09,5.34,0.77,0.0,9.48,5.1,3.38,0.0,2.54,0.14,0.0,205
791,20190605_180037_couscous and anchovy topped salad.jpg,couscous and anchovy topped salad,20190605_180037_couscous and anchovy topped salad.txt,48,1.81,0.26,0.98,0.32,0.03,7.03,3.32,1.72,0.3,1.72,0.28,0.0,590
792,20190317_172749_tom kho tau and chicken stock.jpg,tom kho tau and chicken stock,20190317_172749_tom kho tau and chicken stock.txt,26,1.23,0.61,0.0,0.0,0.0,3.36,0.75,0.38,0.0,0.43,1.51,0.0,550
793,20200327_153432_pork & sticky potatoes.jpg,pork & sticky potatoes,20200327_153432_pork & sticky potatoes.txt,153,6.61,1.35,3.82,0.56,0.0,11.32,2.56,1.42,0.01,12.51,0.5,0.0,255
794,20200509_154305_steak & chips w beetroot & mint salad.jpg,steak & chips w beetroot & mint salad,20200509_154305_steak & chips w beetroot & mint salad.txt,214,13.8,4.74,4.4,0.46,0.03,9.71,2.74,1.09,0.0,10.84,0.63,0.0,445
